book_title,book_author,book_translator,book_pub_date,book_isbn
"모던 웹을 요리하는 초간편 HTML5 Cookbook : 자바스크립트 API, 로컬 저장소, 접근성, 지오로케이션","크리스토퍼 슈미트 , 카일 심슨 ",,2012-08-17,9788979149401
읽기 좋은 코드가 좋은 코드다: 더 나은 코드를 작성하는 간단하고 실전적인 테크닉,"더스틴 보즈웰 , 트레버 파우커 ",,2012-04-26,9788979149142
읽기 좋은 자바스크립트 코딩 기법: 유지보수가 쉬운 코드로 팀의 생산성을 높이자,니콜라스 자카스 ,,2013-01-26,9788979149883
사전처럼 바로 찾아 쓰는 HTML5 핵심 API,하타노 후토미 ,,2011-12-01,9788979148732
회사에서 바로 통하는 엑셀 2010 함수 이해&활용,최준선 ,,2012-09-17,9788979149630
"IT CookBook, 초보자의 첫 번째 파워포인트 2010",최희식 ,,2013-07-28,9788998756536
한 번에 배우는 HTML5+자바스크립트,지닌 마이어 ,,2011-05-22,9788979148268
자바 객체지향 디자인 패턴: UML과 GoF 디자인 패턴 핵심 10가지로 배우는,"정인상 , 채흥석 ",,2014-04-28,9788968480911
프로젝트로 배우는 HTML5+자바스크립트,지닌 마이어 ,,2012-06-22,9788979149241
좋은 코딩 나쁜 코딩 : 단순한 코드가 좋은 코드다 (2판),박진수 ,,2013-10-10,9788968480560
"IT CookBook, 파워포인트 2013 : 기본 기능부터 프레젠테이션 스킬까지 한번에!","채종서 , 차유빈 ",,2014-12-17,9791156641377
회사에서 바로 통하는 엑셀&파워포인트 2013,"이희정 , 전미진 ",,2014-11-25,9788968481406
회사에서 바로 통하는 파워포인트 2010,"이상훈 , 김연희 ",,2011-05-03,9788979148015
"IT CookBook, 컴퓨터 활용 : 윈도우 7, 한글 2010, 엑셀 2010, 파워포인트 2010","김주영 , 정영준 ",,2013-03-20,9788998756154
코딩의 기술 : C와 C++ 게임 코드로 알아보는,오즈 모리하루 ,,2016-03-28,9788968482694
"IT CookBook, 엑셀 2010 실무와 활용",전미진 ,,2014-02-24,9788998756802
회사에서 바로 통하는 엑셀+파워포인트 2013&한글 2014,"전미진 , 이화진 , 신면철 ",,2015-04-28,9788968481932
리팩터링 2판 (리팩토링 개정판),마틴 파울러 ,,2020-04-01,9791162242742
"IT CookBook, 파워포인트 2013 for Beginner",최희식 ,,2014-10-28,9791156641285
"Blog2Book, 자바 개발자도 쉽고 즐겁게 배우는 테스팅 이야기",이상민 ,,2009-12-09,9788979147124
"IT CookBook, 초보자의 첫 번째 워드 2010",최희식 ,,2014-02-19,9788998756987
"IT CookBook, 인터넷 윤리","최희식 , 김상균 ",,2016-08-26,9791156642503
"IT CookBook, 워드 2013 for Beginner",최희식 ,,2014-10-28,9791156641384
더 나은 프로그래밍을 위한 코드골프 : 즐기면서 배우는 자바스크립트 코드 퍼즐과 알고리즘,야나이 마사카즈 ,,2015-01-28,9788968481673
HTML5 Canvas : 웹의 한계를 캔버스로 뛰어 넘는다,"스티브 펄튼 , 제프 펄튼 ",,2012-01-09,9788979148985
테스트 주도 개발 : 고품질 쾌속개발을 위한 TDD 실천법과 도구,채수원 ,,2010-06-08,9788979147261
위닝 프레젠테이션 : 프레젠테이션 전문 코치가 1:1로 가르쳐주는 30가지 비밀,채종서 ,,2014-03-27,9788968480898
Head First JavaScript Programming : 게임과 퍼즐로 배우는 자바스크립트 입문서,"에릭 프리먼 , 엘리자베스 롭슨 ",,2015-01-27,9788968481567
회사에서 바로 통하는 엑셀+파워포인트+워드 2010,"전미진 , 이화진 , 신면철 ",,2011-08-22,9788979148534
당신의 프레젠테이션이 항상 그 모양인 이유,전철웅 ,,2011-05-28,9788979147803
slide:ology - 위대한 프레젠테이션을 만드는 예술과 과학,낸시 두아르떼(Nancy Duarte) ,,2010-03-08,9788979147308
웹 표준 가이드: HTML5 + CSS3,존 앨섭(John Allsopp) ,,2010-11-25,9788979147940
자바스크립트를 말하다 : 가장 간결하면서도 완벽한 자바스크립트 입문서,악셀 라우슈마이어 ,,2014-09-12,9788968481192
회사에서 바로 통하는 엑셀&파워포인트 2010,"이희정 , 전미진 ",,2010-09-16,9788979147636
만들면서 배우는 HTML5+CSS3+jQuery,야무(지훈) ,,2012-03-12,9788979149104
엑셀 2010 바이블,최준선 ,,2011-09-28,9788979148541
"인사이드 자바스크립트 : 핵심 개념과 원리를 정확하게. jQuery, Node.js, 클로저의 개념까지","송형주 , 고현준 ",,2014-01-02,9788968480652
인포그래픽 프레젠테이션 : 보는 순간 착 달라붙는 인포그래픽 제작 비법 68,곽승원 ,,2014-01-02,9788968480751
"모던 웹 디자인을 위한 HTML5+CSS3 입문, 개정판",윤인성 ,,2015-01-19,9788968481611
훌륭한 프로그래머 되는 법 : 프로젝트와 팀을 성공으로 이끄는 선배 개발자의 노하우,피트 구들리프 ,,2015-12-04,9788968482304
HTML5+CSS3 정복 : 실습 위주의 친절한 HTML5 자습서,김상형 ,,2014-09-28,9788968481277
더글라스 크락포드의 자바스크립트 핵심 가이드,더글라스 크락포드(Douglas Crockford) ,,2008-09-26,9788979145984
회사에서 바로 통하는 파워포인트 2013,전상오 ,,2014-11-25,9788968481413
누구나 할 수 있는 인포그래픽 with 파워포인트,곽승원(꽉군) ,,2015-11-27,9788968482434
모던 웹을 위한 HTML5 웹소켓 프로그래밍,"바네사 왕 , 프랭크 살림 , 피터 모스코비츠 ",,2013-07-24,9788968480317
파워포인트 블루스,김용석 ,,2009-05-21,9788979146653
엑셀 2010 함수 바이블,이동숙 ,,2011-02-28,9788979148084
컨설턴트가 알려주는 보고서 작성의 기술 with 파워포인트,홍장표 ,,2015-07-17,9788968481925
"IT CookBook, 컴퓨터 활용과 실습 : 컴퓨터 기초, 한글 2014, 엑셀 2013, 파워포인트 2013",김주영 ,,2015-02-02,9791156641490
TopCoder 탑코더 알고리즘 트레이닝,타카하시 나오히로 ,,2013-10-28,9788968480553
Programming Challenges: 알고리즘 트레이닝 북,"스티븐 스키에나 , 미구엘 레비야 ",,2004-07-14,8979142889
뇌를 자극하는 알고리즘,박상현 ,,2009-09-04,9788979146875
회사에서 바로 통하는 엑셀 2010 함수 이해&활용,최준선 ,,2012-09-17,9788979149630
